message_id,cleaned_text,timeline
129351,دوستم در آستانه ازدواجه. دوست‌پسرش شوخی می‌کنه و بهش میگه: بیا مهمونا رو سرگرم کنیم. توی مراسم بگو ممنونم منو گرفتی. دوستمم بهش میگه: باشه، خیلی هم بامزه است. تو هم بیا سرگم‌کننده‌ترش کن و بگو: خوشحالم زنی بهتر از مادرم پیدا کردم. فعلا ازدواج کنسل شده =)))),timeline_1
129352,"این همون نو میکاپه که آقایون رو گول میزنه.
""هیچی ندارن""
-Vida",timeline_1
129355,خونه مادر شوهرم  موقع غذا خوردن قانون جنگله، هرکی زودتر برسه اون برده، امروز همه هستن و قراره ابگوشت بخوریم، شوهرم گفت امروز من شوهرت نیستم خودت باید از پس خودت بر بیای و گشنه نمونی :)))))))))))) من الان با چاقو نشستم هرکی بیاد جلو میزنم ،حالا هرجا که خورد,timeline_1
129356,"اونروز تو قنادی خانمه اومد کیکشو تحویل بگیره. ظاهرا یک و نیم کیلو سفارش داده بود ولی کیک رو ٢٧٠٠ درس کرده بودن. خانمه پول یک و نیم رو کشید و گف تا یاد بگیرین اندازه دقیق درس کنین شاید یکی پول اضافی نداشته باشه.
-",timeline_1
129359,"ثبت نام پژو زد فلیپ ایران‌خودرو آغاز شد!
-",timeline_1
129360,چقدر مردم دراماتیکن بابا :))) بدیهیات رو جوری مینویسن که فکر کنی یه برش از یه رمان پرفروشه. خب میخواستی وقتی مهاجرت کردی کرم ببک تو کیفت باشه؟,timeline_1
129361,هر صبح پا میشم میگم عه من هنوز تو لندنم :),timeline_1
129367,"باورم نمیشه، دیشب از زبون خاله م شنیدم که ازدواج مامان بابام عاشقانه و با وجود مخالفت خونواده ها بوده، مامانم انقد توی انتخابش ریده بوده که روش نشده به ما راستشو بگه!
الان خیلی از گره های ذهنیم داره باز میشه",timeline_1
129369,نه پول نه قيافه نه توجه زياد، هيچی اندازه‌ی بابای خوب، تو خوشبختی يه دختر تاثير نداره,timeline_1
129297,در سایت flight radar 24 ، بابانوئل چند ساعته که با سورتمه داره تو آسمون پرواز میکنه :],timeline_1
129299,"ماشین تو خیابون خاموش شد دیگه روشن نشد
بعد از اینکه ۵۶۲۱ بار استارت زدم، زنگ زدم به بابام گفت فقط زیاد استارت نزنیا باتریش میخوابه
عالیه :)",timeline_1
129300,"مشتری زنگ زده به بابام میگه حسابدارتون(نمیدونست دخترشم)خیلی بی اعصابه با من خوب حرف نمیزنه
بابامم گفته منم از دستش در امان نیستم:)))",timeline_1
129301,"واییی
'مشاور دیوونه",timeline_1
129302,من هفت صبح در سگ سرما بدون خوردن صبحانه در انتظار اتوبوس برای رسیدن به کلاس ۷:۳۰ در ساعت ۸:۱۵,timeline_1
129304,ولی کسی جرات نداره مغز گربه ها رو اسکن کنه!,timeline_1
129305,فیسبوک میگه دوازده سال پیش به این خندیدم.,timeline_1
129307,"یکی از بچه‌ها تو باشگاه هر جلسه بو میده!
به روش‌های غیر مستقیم بهش گفتیم ولی تاثیر نداشت.
تا این‌که امروز یه نفر فداکاری کرد و بهش گفت: من هرجا می‌رفتم همه بهم می‌گفتن بو میدی ولی از وقتی از این اسپری‌ها می‌زنم، دیگه بو نمیدم. تو هم ازینا بگیر!
دختره گفت: وا من که بو نمیدم!",timeline_1
129308,۱۷ سالمون بود. طلای المپیاد (معافیت کنکور) داشتیم و چند ماه مونده بود به مسابقات جهانی. از فرط استرس و جوونی می‌رفتیم یه پارک کوچیک پشت باشگاه دانش‌پژوهان سیگار می‌کشیدیم. یه بار یه پیرمرده رد شد، سری تکون داد و بهمون گفت «خجالت بکشید! همسن‌های شما الآن دارن برا کنکور می‌خونن...»,timeline_1
129309,"دوست دوستم بخاطر سرطان دهانه رحم مرد.
تو تایمی که داشت درمان میشد برای سرطانش به دکترش گفته بود نمیخواد بدونه از HPV بوده یا نه چون میخواد چند روز آخر عمرش حداقل از شوهرش متنفر نباشه
باکره بود وقتی ازدواج کرده بود!",timeline_1
129310,"یادمه ۷-۸ سال پیش که این چیزا مد نبود با یکی رفته بودم دیت.
یهو گفت تو طرحواره نداری؟
گفتم نه دامپزشک ها طرح ندارن.
قیافش اینجوری بود که “کسخلی چیزی هستی؟”",timeline_1
129311,یه پیج تو اینستا این عکس رو گذاشت، سیل عظیمی از مردم کشورم دارن از دایی و فردوسی پور تشکر میکنن که ملاقات عطاران رفتن.,timeline_1
129316,"زمانی که هجده سالم بود ،
فهمیدم فرزند واقعی پدر و مادرم نیستم .
یه نامه با این محتوا روی میز اتاقم پیدا کردم :
"" من مادر واقعی مهدی هستم ، مهدی در سبد است
به خواهرش بگویید از او مراقبت کند ""
با دستخط خواهر هفت ساله‌م .",timeline_1
